governorate,year,month,ETa_mean,ETa_max,ETa_std,PET_mean,PET_max,PET_std,image_count
Gafsa,2006,6,,,,,,,0
Gafsa,2006,7,,,,,,,0
Gafsa,2006,8,,,,,,,0
Gafsa,2006,9,,,,,,,0
Gafsa,2006,10,,,,,,,0
Gafsa,2006,11,,,,,,,0
Gafsa,2006,12,,,,,,,0
Gafsa,2007,1,,,,,,,0
Gafsa,2007,2,,,,,,,0
Gafsa,2007,3,,,,,,,0
Gafsa,2007,4,,,,,,,0
Gafsa,2007,5,,,,,,,0
Gafsa,2007,6,,,,,,,0
Gafsa,2007,7,,,,,,,0
Gafsa,2007,8,,,,,,,0
Gafsa,2007,9,,,,,,,0
Gafsa,2007,10,,,,,,,0
Gafsa,2007,11,,,,,,,0
Gafsa,2007,12,,,,,,,0
Gafsa,2008,1,,,,,,,0
Gafsa,2008,2,,,,,,,0
Gafsa,2008,3,,,,,,,0
Gafsa,2008,4,,,,,,,0
Gafsa,2008,5,,,,,,,0
Gafsa,2008,6,,,,,,,0
Gafsa,2008,7,,,,,,,0
Gafsa,2008,8,,,,,,,0
Gafsa,2008,9,,,,,,,0
Gafsa,2008,10,,,,,,,0
Gafsa,2008,11,,,,,,,0
Gafsa,2008,12,,,,,,,0
Gafsa,2009,1,,,,,,,0
Gafsa,2009,2,,,,,,,0
Gafsa,2009,3,,,,,,,0
Gafsa,2009,4,,,,,,,0
Gafsa,2009,5,,,,,,,0
Gafsa,2009,6,,,,,,,0
Gafsa,2009,7,,,,,,,0
Gafsa,2009,8,,,,,,,0
Gafsa,2009,9,,,,,,,0
Gafsa,2009,10,,,,,,,0
Gafsa,2009,11,,,,,,,0
Gafsa,2009,12,,,,,,,0
Gafsa,2010,1,,,,,,,0
Gafsa,2010,2,,,,,,,0
Gafsa,2010,3,,,,,,,0
Gafsa,2010,4,,,,,,,0
Gafsa,2010,5,,,,,,,0
Gafsa,2010,6,,,,,,,0
Gafsa,2010,7,,,,,,,0
Gafsa,2010,8,,,,,,,0
Gafsa,2010,9,,,,,,,0
Gafsa,2010,10,,,,,,,0
Gafsa,2010,11,,,,,,,0
Gafsa,2010,12,,,,,,,0
Gafsa,2011,1,,,,,,,0
Gafsa,2011,2,,,,,,,0
Gafsa,2011,3,,,,,,,0
Gafsa,2011,4,,,,,,,0
Gafsa,2011,5,,,,,,,0
Gafsa,2011,6,,,,,,,0
Gafsa,2011,7,,,,,,,0
Gafsa,2011,8,,,,,,,0
Gafsa,2011,9,,,,,,,0
Gafsa,2011,10,,,,,,,0
Gafsa,2011,11,,,,,,,0
Gafsa,2011,12,,,,,,,0
Gafsa,2012,1,,,,,,,0
Gafsa,2012,2,,,,,,,0
Gafsa,2012,3,,,,,,,0
Gafsa,2012,4,,,,,,,0
Gafsa,2012,5,,,,,,,0
Gafsa,2012,6,,,,,,,0
Gafsa,2012,7,,,,,,,0
Gafsa,2012,8,,,,,,,0
Gafsa,2012,9,,,,,,,0
Gafsa,2012,10,,,,,,,0
Gafsa,2012,11,,,,,,,0
Gafsa,2012,12,,,,,,,0
