governorate,year,month,S2_scene_count,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std
Gafsa,2021,12,42,0.11336929088119499,-0.2768360553072125,0.05525817074365903,0.050780877157838446
Gafsa,2022,1,35,0.11696100681139765,-0.2842276508173192,0.05089050027758156,0.04913409024553839
Gafsa,2022,2,23,0.1103506056418097,-0.2776019580195139,0.04459727627516841,0.043122807044683
Gafsa,2022,3,26,0.10527035986035373,-0.2684858307537965,0.05029822765601214,0.046600835011349796
Gafsa,2022,4,16,0.12284208178827122,-0.27803502193727847,0.060079323868947467,0.05050406766041127
Gafsa,2022,5,33,0.11074479518433802,-0.2705887312986988,0.05452770368878349,0.050737153421739026
Gafsa,2022,6,38,0.09825285498596482,-0.26016195852005297,0.0455231018223231,0.042949154979037354
Gafsa,2022,7,46,0.09157180935597972,-0.25711128770574326,0.04708333282121695,0.046135156425956274
Gafsa,2022,8,50,0.08421694213233766,-0.24999882008550417,0.0469726223764975,0.04674114496978593
Gafsa,2022,9,25,0.08784058506825472,-0.2574199787794802,0.05135785323326414,0.05047200828809451
Gafsa,2022,10,42,0.1021097996707543,-0.26413353038080706,0.053582309099629515,0.04952229018591904
Gafsa,2022,11,31,0.10296733671001618,-0.2641674268929731,0.05917121608042963,0.05603245416896858
Gafsa,2022,12,42,0.10809206897964317,-0.27167693641009594,0.05715217601967607,0.051972229592201914
Gafsa,2023,1,44,0.11422138134327414,-0.27883259098372887,0.05262511560584692,0.04949887409014664
Gafsa,2023,2,26,0.10967569720653515,-0.27272344525350645,0.04868747576262628,0.0459833554654928
Gafsa,2023,3,35,0.10725053382181646,-0.2717324207863742,0.05632650901883476,0.05106575436891999
Gafsa,2023,4,29,0.10186790909041457,-0.26389437013430156,0.05667815062764218,0.05197712865013489
Gafsa,2023,5,17,0.09843664183086316,-0.25933151835736074,0.05074546169234543,0.047263094283678274
Gafsa,2023,6,36,0.1041937389443624,-0.25935498814554997,0.05320339310262014,0.046416879655337445
Gafsa,2023,7,50,0.09360676652124336,-0.2520437883406338,0.044066522997006016,0.04164135717022525
Gafsa,2023,8,46,0.08740361625736541,-0.2472905222944611,0.04332329210614815,0.041705244430209766
Gafsa,2023,9,49,0.09268449443255158,-0.2541292669414732,0.04895136308571903,0.045933596994329313
Gafsa,2023,10,33,0.09699767622893896,-0.2574496782503504,0.04839562320001494,0.04488766188930422
Gafsa,2023,11,33,0.09837722919042413,-0.2592621611881747,0.05448675712689995,0.050245099907045516
Gafsa,2023,12,25,0.117603498563596,-0.278046265877222,0.05905691380063796,0.05355969686057899
Gafsa,2024,1,35,0.11197869180126592,-0.2698840152536704,0.05274930865213153,0.047652820614287716
Gafsa,2024,2,21,0.11673933384746238,-0.278245775775268,0.05860686130957869,0.053194097724735386
Gafsa,2024,3,44,0.11468676652431271,-0.27773958912748553,0.057153377324886644,0.04994073310593854
Gafsa,2024,4,26,0.11505097166356187,-0.27579462736012617,0.05955072075313316,0.051120856428435786
Gafsa,2024,5,30,0.10863708679491998,-0.2695205943729921,0.05542131526917523,0.049902289503852094
Gafsa,2024,6,47,0.09543356236075037,-0.25470579687919437,0.048306744751593855,0.044203963233330174
Gafsa,2024,7,48,0.08980174398118985,-0.252327093419718,0.04254014801184522,0.0405246646199584
Gafsa,2024,8,38,0.08841686511183723,-0.25298599966341834,0.04587053904197024,0.04346652993716007
Gafsa,2024,9,28,0.08761690342030737,-0.2505660388937986,0.048592178058475315,0.044780589597186525
Gafsa,2024,10,22,0.09851866195812248,-0.257465171949354,0.05830258635391336,0.052781158492784606
Gafsa,2024,11,36,0.11976330400585058,-0.2731833727509799,0.06770153732389973,0.056433818815634716
Gafsa,2024,12,34,0.13784750512523908,-0.2911745458520009,0.06885410838845926,0.05964779069708818
Kebili,2015,1,0,,,,
Kebili,2015,2,0,,,,
Kebili,2015,3,0,,,,
Kebili,2015,4,0,,,,
Kebili,2015,5,0,,,,
Kebili,2015,6,0,,,,
Kebili,2015,7,4,0.06698689683739814,-0.25803727903046536,0.024117352219464264,0.04697450935177019
Kebili,2015,8,3,0.057864508426085745,-0.25428707406468753,0.022855440981490453,0.0468983060380352
Kebili,2015,9,4,0.0649083324444795,-0.29380610902616044,0.011844402732988684,0.03278517919349997
Kebili,2015,10,1,0.07615522958889248,-0.25191744830658536,0.01149367526072434,0.02104837488232162
Kebili,2015,11,6,0.0780315054982017,-0.2650080917210204,0.03436821720525078,0.04775233770133577
Kebili,2015,12,17,0.07787360548701526,-0.26209643053440873,0.060580961754968556,0.06140095450498755
Kebili,2016,1,11,0.07439140727527895,-0.2754253003746022,0.02870303972062057,0.046561053378108945
Kebili,2016,2,16,0.08630107207484393,-0.26889808523311953,0.048841502314230845,0.0531799008530565
Kebili,2016,3,19,0.08558151594651049,-0.2774900634610246,0.04300082459209678,0.05249399434083322
Kebili,2016,4,1,0.08638771136890006,-0.2523564065944508,0.05032957722256873,0.043694073322978914
Kebili,2016,5,10,0.0814308128916789,-0.2831615289900322,0.04262571374883429,0.05226133913179259
Kebili,2016,6,16,0.0681782615555468,-0.26763911666575,0.025760168816991752,0.04890268842994099
Kebili,2016,7,20,0.06729924405125656,-0.2649957266274946,0.04118631971957489,0.05441846111030148
