governorate,year,month,precip_total_mm,precip_max_daily_mm,rain_days
Gabes,2017,6,2.4016120563085672,1.9604654561169703,1.4343869156223719
Gabes,2017,7,0.203245445120022,0.203245445120022,0.21687115559003162
Gabes,2017,8,0.0,0.0,0.0
Gabes,2017,9,8.855845810031301,7.820643174276965,1.3184455199991263
Gabes,2017,10,26.966932907501104,16.60227462697828,2.214412918310044
Gabes,2017,11,71.90951256179652,36.746976697731064,3.2796490729714085
Gabes,2017,12,38.204313014609724,19.188978376414493,3.27482000240361
Gabes,2018,1,16.24093696922052,8.230345674637888,2.5219657157840687
Gabes,2018,2,46.36229060137951,23.283303182772574,3.529591714101543
Gabes,2018,3,15.458990778848962,10.156116785436456,2.149712113100766
Gabes,2018,4,12.100707638438745,6.699846466441823,3.6027488555539793
Gabes,2018,5,9.64049339641724,5.578691832361195,2.2944749751444897
Gabes,2018,6,3.615072394182791,2.349908317434832,2.5757519474702004
Gabes,2018,7,0.011438045719626807,0.011438045719626807,0.04948158507139814
Gabes,2018,8,2.9951022527055255,1.6364624919685145,2.278993543030078
Gabes,2018,9,28.330586120464933,17.536272993747207,2.5568726851598957
Gabes,2018,10,20.074207216593376,11.885844388395874,3.168045100459965
Gabes,2018,11,44.66221336919281,25.60452616626709,3.048443662664293
Gabes,2018,12,13.90612084442852,6.171083354228677,2.6140895235389876
Gabes,2019,1,41.73199694708014,21.986770118343955,2.538834686274296
Gabes,2019,2,20.467075848668888,13.206675852868509,2.0087622502157787
Gabes,2019,3,21.70677439970903,7.023423501034936,4.547225469523322
Gabes,2019,4,13.011186468955213,10.397819255696053,3.8330693004402976
Gabes,2019,5,12.262774691034036,5.9881318507537165,3.27412077046619
Gabes,2019,6,1.862720405086858,1.3532674879887063,1.5996241628336372
Gabes,2019,7,0.0,0.0,0.0
Gabes,2019,8,0.72286369741594,0.7189973701393112,0.25588611259819294
Gabes,2019,9,18.09810173594991,12.44238799363223,2.2901047755356227
Gabes,2019,10,23.020157112063952,13.39928138815723,2.5384413683094977
Gabes,2019,11,34.391791817036584,13.750789361954002,4.790885948715708
Gabes,2019,12,25.140217152944416,11.703653449100718,2.7896950693222915
Gabes,2020,1,43.53966289290137,12.274743357877835,5.300298266123307
Gabes,2020,2,11.375800916164849,10.984398650097262,1.2083492663527413
Gabes,2020,3,37.55450041237131,13.990029595631201,3.922997082891762
Gabes,2020,4,10.301405102470062,4.765541843562096,3.018988517300528
Gabes,2020,5,6.701245946631462,3.272589209620794,3.365851260256312
Gabes,2020,6,3.703487393987399,1.6445182249417092,4.50020212173191
Gabes,2020,7,0.22890397866676543,0.22795274698516096,0.5992199193698172
Gabes,2020,8,0.05971954745597159,0.05971954745597159,0.05907417321286151
Gabes,2020,9,28.259202840456364,12.613429647319874,3.2537010127937593
Gabes,2020,10,7.81284009689384,5.962197116029295,1.701264080236865
Gabes,2020,11,30.634925489136307,24.874122119353377,1.9296834882933267
Gabes,2020,12,32.68820435015492,14.57151541360695,3.508221438014182
Gabes,2021,1,16.21206125991766,7.94752740145477,2.4911885850386213
Gabes,2021,2,25.126662233340753,9.270252674956419,5.537403445902393
Gabes,2021,3,11.445060900971413,6.723090696160835,2.25294715336123
Gabes,2021,4,9.193011831569562,4.47898209031834,3.3983109178511715
Gabes,2021,5,6.183703108793828,2.0443470130728234,4.6547323799014535
Gabes,2021,6,2.9520749222517697,1.5705215673267767,2.7571480077352546
Gabes,2021,7,0.0,0.0,0.0
Gabes,2021,8,0.2785364763644175,0.19090443562965864,0.15569928656491386
Gabes,2021,9,7.76595197506667,5.154522664497816,1.6208087054376208
Gabes,2021,10,8.877413398654603,6.905044639810878,1.5915502190562556
Gabes,2021,11,21.329249104289502,13.6817217431074,2.051612057380722
Gabes,2021,12,13.004243097239238,6.145097160536283,2.4380797342918643
Gabes,2022,1,27.534422357722985,13.444760707300754,3.0110675305094565
Gabes,2022,2,14.266676304644582,9.371320996026448,2.232210556217155
Gabes,2022,3,19.651310157741502,10.609848912525013,2.9114269794272856
Gabes,2022,4,10.245632258277675,4.0767936894625585,4.212577434474321
Gabes,2022,5,8.090063065002292,4.1792823317365375,2.5937790208567777
Gabes,2022,6,2.3108787734655705,1.2125290294595295,3.113985731298277
Gabes,2022,7,0.0,0.0,0.0
Gabes,2022,8,1.0264840443069658,0.9726428205849293,0.5219001627899355
Gabes,2022,9,18.016617862617576,9.93114178523153,3.4829070567798173
Gabes,2022,10,3.76228412388544,3.693480294307078,0.7247102011384371
Gabes,2022,11,11.03671492463226,6.796219664072508,1.9944061445006505
Gabes,2022,12,21.46273699090847,11.280639387593837,2.7237596827235095
Gabes,2023,1,16.6915871264534,6.155143238189494,2.873766784297874
