governorate,year,month,tws_anomaly_cm,is_interpolated,extraction_weight,tws_weighted_cm,tws_estimated_Mm3
Gafsa,2007,7,-0.31910123551412556,False,0.05631221754593033,-0.01796929819344659,-7.72104804776013
Gafsa,2007,8,-0.3080016047816476,False,0.05631221754593033,-0.0173442533729598,-7.452478789293367
Gafsa,2007,9,-0.7752453353506459,False,0.05631221754593033,-0.04365578397573329,-18.75801725869308
Gafsa,2007,10,-0.9105727993375292,False,0.05631221754593033,-0.05127637356770171,-22.032432194570074
Gafsa,2007,11,-0.4375381750159473,False,0.05631221754593033,-0.024638744896147362,-10.5867759069766
Gafsa,2007,12,-0.6133689198030152,False,0.05631221754593033,-0.03454016404785969,-14.84121768808435
Gafsa,2008,1,-0.4043096678231189,False,0.05631221754593033,-0.0227675739703783,-9.782771183592148
Gafsa,2008,2,-1.4340343641756554,False,0.05631221754593033,-0.08075365508379939,-34.69823051640692
Gafsa,2008,3,-0.5243704714798906,False,0.05631221754593033,-0.029528464064637657,-12.687790439293508
Gafsa,2008,4,-0.9599743698467309,False,0.05631221754593033,-0.05405828555332649,-23.22776413655333
Gafsa,2008,5,-1.5053710212246842,False,0.05631221754593033,-0.08477078043454372,-36.42430893711475
Gafsa,2008,6,-1.7968330823499963,False,0.05631221754593033,-0.10118365542701754,-43.4765930638809
Gafsa,2008,7,-1.604590544579175,False,0.05631221754593033,-0.09035805181848533,-38.82504770536678
Gafsa,2008,8,-1.5287634897274656,False,0.05631221754593033,-0.08608806220980868,-36.99031857031059
Gafsa,2008,9,-2.010391368832869,False,0.05631221754593033,-0.11320959611417718,-48.64389925833965
Gafsa,2008,10,-1.7427889132689518,False,0.05631221754593033,-0.09814030842063673,-42.168927722179184
Gafsa,2008,11,-1.252259310429138,False,0.05631221754593033,-0.07051749871280233,-30.299958846916905
Gafsa,2008,12,-0.5245426674080215,False,0.05631221754593033,-0.029538160799203086,-12.691956932201583
Gafsa,2009,1,-0.4597993428004188,False,0.05631221754593033,-0.02589232061925298,-11.125412323680619
Gafsa,2009,2,-0.5143579829333392,False,0.05631221754593033,-0.02896463863142812,-12.445525927152035
Gafsa,2009,3,-0.7385189140492525,False,0.05631221754593033,-0.04158763774972574,-17.869376188302155
Gafsa,2009,4,-0.6519049084618717,False,0.05631221754593033,-0.03671021102456472,-15.773643473034967
Gafsa,2009,5,-0.8975189037903102,False,0.05631221754593033,-0.05054127976182486,-21.71657708806091
Gafsa,2009,6,-0.9933271007241058,False,0.05631221754593033,-0.0559364517902441,-24.034774605232084
Gafsa,2009,7,-1.1416537192067526,False,0.05631221754593033,-0.06428905259809112,-27.62372012034779
Gafsa,2009,8,-1.553735368312445,False,0.05631221754593033,-0.0874942840692166,-37.59454397886099
Gafsa,2009,9,-1.5417215558489563,False,0.05631221754593033,-0.08681775964821661,-37.30385496564571
Gafsa,2009,10,-1.6233850795106586,False,0.05631221754593033,-0.09141641375822161,-39.27980466363267
Gafsa,2009,11,-2.0232788374174384,False,0.05631221754593033,-0.11393531804872781,-48.95572745917736
Gafsa,2009,12,-1.856394101721129,False,0.05631221754593033,-0.10453766850710214,-44.917745404131644
Gafsa,2010,1,-1.6151798920606966,False,0.05631221754593033,-0.09095436145753422,-39.0812700310733
Gafsa,2010,2,-2.0290281071981964,False,0.05631221754593033,-0.11425907217935209,-49.09483813402401
Gafsa,2010,3,-2.4992398208751685,False,0.05631221754593033,-0.14073773649257446,-60.47219061612939
Gafsa,2010,4,-3.2403503348217426,False,0.05631221754593033,-0.18247131297951016,-78.40427376103592
Gafsa,2010,5,-2.742444462022902,False,0.05631221754593033,-0.15443312915306553,-66.3568269344892
Gafsa,2010,6,-3.1986518850266874,False,0.05631221754593033,-0.18012318080332296,-77.39532832757182
Gafsa,2010,7,-3.3128379722081065,False,0.05631221754593033,-0.1865532525854016,-80.15820157089536
Gafsa,2010,8,-3.553373109425957,False,0.05631221754593033,-0.20009831955985338,-85.9782459484778
Gafsa,2010,9,-3.98833288339542,False,0.05631221754593033,-0.2245918689753505,-96.50263426132861
Gafsa,2010,10,-3.4231375852954113,False,0.05631221754593033,-0.19276446839280587,-82.82703677902083
Gafsa,2010,11,-2.899013221187305,False,0.05631221754593033,-0.16324986318002777,-70.14520121119433
Gafsa,2010,12,-2.9068197384777212,False,0.05631221754593033,-0.16368946547996174,-70.33408952742998
Gafsa,2011,1,-2.9593129002518515,True,0.05631221754593033,-0.1666454718254603,-71.60422633396378
Gafsa,2011,2,-3.011806062025982,False,0.05631221754593033,-0.16960147817095886,-72.8743631404976
Gafsa,2011,3,-3.629010143250901,False,0.05631221754593033,-0.20435760866313255,-87.80837729037479
Gafsa,2011,4,-3.8479707111215253,False,0.05631221754593033,-0.2166877637950436,-93.10639834745433
Gafsa,2011,5,-3.5713689367955803,False,0.05631221754593033,-0.20111170450561064,-86.41367719197078
Gafsa,2011,6,-3.548867101317387,True,0.05631221754593033,-0.19984457625097987,-85.86921752352103
Gafsa,2011,7,-3.526365265839193,False,0.05631221754593033,-0.1985774479963491,-85.32475785507128
Gafsa,2011,8,-3.1727419005230995,False,0.05631221754593033,-0.17866413211934523,-76.76840428904026
Gafsa,2011,9,-3.297824653877059,False,0.05631221754593033,-0.18570781933745736,-79.79493581291868
Gafsa,2011,10,-3.563037537382503,False,0.05631221754593033,-0.2006425449293994,-86.21208870526434
Gafsa,2011,11,-3.448498368972843,False,0.05631221754593033,-0.19419259036038466,-83.44067222605008
Gafsa,2011,12,-2.9309282088387567,True,0.05631221754593033,-0.165047066907632,-70.91742370887131
Gafsa,2012,1,-2.413358048704671,False,0.05631221754593033,-0.13590154345487937,-58.39417519169256
Gafsa,2012,2,-3.3268074391643685,False,0.05631221754593033,-0.18733990424764332,-80.49621005712739
Gafsa,2012,3,-3.0772611426414485,False,0.05631221754593033,-0.1732873989100634,-74.45812956367604
Gafsa,2012,4,-3.2991679248724957,False,0.05631221754593033,-0.18578346190597553,-79.82743791175956
Gafsa,2012,5,-3.7219797205763,True,0.05631221754593033,-0.2095929317266336,-90.05789090429992
